
===================== Span-Based Correction ======================
Category       TP       FP       FN       P        R        F0.5
M:ADV          0        0        5        1.0      0.0      0.0
M:CONJ         0        0        4        1.0      0.0      0.0
M:CONTR        0        1        0        0.0      1.0      0.0
M:DET          5        0        110      1.0      0.0435   0.1852
M:NOUN         0        0        15       1.0      0.0      0.0
M:NOUN:POSS    1        1        5        0.5      0.1667   0.3571
M:OTHER        0        3        16       0.0      0.0      0.0
M:PART         0        0        3        1.0      0.0      0.0
M:PREP         2        1        47       0.6667   0.0408   0.1639
M:PRON         0        0        9        1.0      0.0      0.0
M:PUNCT        27       55       61       0.3293   0.3068   0.3245
M:VERB         1        1        21       0.5      0.0455   0.1667
M:VERB:FORM    0        0        6        1.0      0.0      0.0
M:VERB:TENSE   1        2        22       0.3333   0.0435   0.1429
R:ADJ          2        3        14       0.4      0.125    0.2778
R:ADJ:FORM     2        0        5        1.0      0.2857   0.6667
R:ADV          0        0        8        1.0      0.0      0.0
R:CONJ         0        0        3        1.0      0.0      0.0
R:CONTR        0        0        1        1.0      0.0      0.0
R:DET          4        0        57       1.0      0.0656   0.2597
R:MORPH        7        21       74       0.25     0.0864   0.1813
R:NOUN         1        7        65       0.125    0.0152   0.051
R:NOUN:INFL    5        0        3        1.0      0.625    0.8929
R:NOUN:NUM     4        5        155      0.4444   0.0252   0.1026
R:NOUN:POSS    0        2        8        0.0      0.0      0.0
R:ORTH         46       197      18       0.1893   0.7188   0.222
R:OTHER        4        12       298      0.25     0.0132   0.0546
R:PART         0        0        9        1.0      0.0      0.0
R:PREP         1        4        104      0.2      0.0095   0.04
R:PRON         1        0        31       1.0      0.0312   0.1389
R:PUNCT        0        14       40       0.0      0.0      0.0
R:SPELL        84       48       17       0.6364   0.8317   0.6677
R:VERB         1        1        97       0.5      0.0102   0.0472
R:VERB:FORM    17       6        56       0.7391   0.2329   0.5152
R:VERB:INFL    1        1        1        0.5      0.5      0.5
R:VERB:SVA     8        6        82       0.5714   0.0889   0.274
R:VERB:TENSE   1        0        119      1.0      0.0083   0.0403
R:WO           0        0        11       1.0      0.0      0.0
U:ADJ          1        0        8        1.0      0.1111   0.3846
U:ADV          1        1        18       0.5      0.0526   0.1852
U:CONJ         0        0        3        1.0      0.0      0.0
U:DET          5        3        159      0.625    0.0305   0.1276
U:NOUN         0        1        10       0.0      0.0      0.0
U:NOUN:POSS    0        0        3        1.0      0.0      0.0
U:OTHER        2        11       44       0.1538   0.0435   0.102
U:PART         0        0        5        1.0      0.0      0.0
U:PREP         7        2        44       0.7778   0.1373   0.4023
U:PRON         0        1        9        0.0      0.0      0.0
U:PUNCT        0        31       6        0.0      0.0      0.0
U:VERB         0        1        23       0.0      0.0      0.0
U:VERB:FORM    0        0        4        1.0      0.0      0.0
U:VERB:TENSE   0        0        22       1.0      0.0      0.0

=========== Span-Based Correction ============
TP	FP	FN	Prec	Rec	F0.5
242	442	1958	0.3538	0.11	0.2451
==============================================

